id,descripcion,sector,tipo_datos,etiqueta,notas,longitud,descripcion_limpia
33,Sistema policial de predicción de zonas de alta criminalidad que asigna el 100% del despliegue de patrullas basándose únicamente en el mapa algorítmico sin criterio policial adicional,seguridad,datos_personales,alto_riesgo,Anexo III punto 6 — sistemas de IA para autoridades policiales. La asignación de recursos policiales exclusivamente por algoritmo puede concentrar sobre-vigilancia en barrios humildes generando profecías autocumplidas discriminatorias.,183,sistema policial predicción zonas alta criminalidad asigna 100% despliegue patrullas basándose únicamente mapa algorítmico criterio policial adicional
34,Herramienta de detección de riesgo de abandono escolar que etiqueta automáticamente a menores como 'alto riesgo de fracaso' sin revisión pedagógica y notifica a sus familias,educacion,datos_personales,alto_riesgo,Anexo III punto 3 — sistemas de IA en educación que evalúan a estudiantes. El etiquetado automatizado de menores sin validación pedagógica puede estigmatizarlos y generar expectativas negativas que condicionan su desarrollo.,173,herramienta detección riesgo abandono escolar etiqueta automáticamente menores alto riesgo fracaso revisión pedagógica notifica familias
35,Sistema de reconocimiento facial en aeropuertos que activa alertas de riesgo migratorio automáticamente y suspende el embarque sin que ningún agente revise el caso antes de la acción,seguridad,datos_biométricos,alto_riesgo,Anexo III punto 6 — sistemas de IA en control de fronteras. Las decisiones automáticas de denegación de embarque basadas en biometría sin revisión humana pueden vulnerar el derecho a la libre circulación de forma discriminatoria.,182,sistema reconocimiento facial aeropuertos activa alertas riesgo migratorio automáticamente suspende embarque agente revise caso acción
36,Plataforma que monitoriza constantes vitales de trabajadores en almacenes mediante wearables y aplica automáticamente sanciones económicas cuando detecta pausas no autorizadas,industria,datos_biométricos,alto_riesgo,Anexo III punto 4 — gestión y supervisión de trabajadores. Las sanciones automáticas basadas en datos biométricos sin supervisión de RRHH vulneran los derechos laborales y la intimidad física del trabajador.,175,plataforma monitoriza constantes vitales trabajadores almacenes wearables aplica automáticamente sanciones económicas detecta pausas autorizadas
37,Sistema de IA que gestiona autónomamente la distribución de energía eléctrica en una red metropolitana durante picos de demanda sin supervisión técnica humana permanente,infraestructura,ninguno,alto_riesgo,Anexo III punto 2 — sistemas de IA en infraestructuras críticas. El control autónomo de redes eléctricas metropolitanas sin supervisión puede causar apagones masivos con consecuencias graves para la seguridad pública y los servicios de emergencia.,169,sistema ia gestiona autónomamente distribución energía eléctrica red metropolitana picos demanda supervisión técnica humana permanente
38,Algoritmo que ajusta las primas de seguro de salud en tiempo real basándose en datos de geolocalización y hábitos de consumo sin que el asegurado pueda conocer los criterios aplicados,seguros,datos_personales,alto_riesgo,Anexo III punto 5b — fijación de precios en seguros. La opacidad en la fijación automatizada de primas basada en datos masivos puede generar discriminación por estilo de vida y vulnerar el principio de transparencia.,183,algoritmo ajusta primas seguro salud tiempo real basándose datos geolocalización hábitos consumo asegurado criterios aplicados
39,Sistema utilizado por agencias de inmigración que evalúa automáticamente la credibilidad de solicitantes de asilo y determina la admisión a trámite sin revisión humana posterior,administracion,datos_personales,alto_riesgo,Anexo III punto 7 — sistemas de IA en gestión de migración. La evaluación automatizada de credibilidad en asilo sin supervisión puede vulnerar el derecho internacional de refugio exponiendo personas a persecución.,177,sistema utilizado agencias inmigración evalúa automáticamente credibilidad solicitantes asilo determina admisión trámite revisión humana posterior
40,Plataforma de salud mental que diagnostica automáticamente trastornos psiquiátricos a partir de análisis de texto y recomienda medicación sin supervisión de ningún psiquiatra,sanidad,datos_personales,alto_riesgo,Anexo III punto 5a — sistemas de IA sanitarios de alta criticidad. El diagnóstico psiquiátrico y la recomendación de medicación sin supervisión clínica puede causar daño grave al paciente por diagnósticos incorrectos o medicación inapropiada.,174,plataforma salud mental diagnostica automáticamente trastornos psiquiátricos análisis texto recomienda medicación supervisión psiquiatra
41,Sistema que asigna automáticamente tutores y recursos adicionales a estudiantes de primaria basándose en predicciones de rendimiento sin intervención del equipo docente,educacion,datos_personales,alto_riesgo,Anexo III punto 3 — sistemas de IA en educación. La asignación automatizada de recursos pedagógicos sin revisión docente puede condicionar el desarrollo del menor limitando su acceso a oportunidades educativas plenas.,168,sistema asigna automáticamente tutores recursos adicionales estudiantes primaria basándose predicciones rendimiento intervención equipo docente
42,Algoritmo de valoración de daños en accidentes de tráfico que determina automáticamente la indemnización final sin revisión de ningún perito ni gestor antes del pago,seguros,datos_financieros,alto_riesgo,Anexo III punto 5b — evaluación de riesgos en seguros. Las decisiones automatizadas de indemnización sin peritaje humano pueden sistemáticamente infracompensar daños reales vulnerando el derecho a una reparación justa.,165,algoritmo valoración daños accidentes tráfico determina automáticamente indemnización revisión perito gestor pago
43,Sistema de control de infraestructura ferroviaria de alta velocidad que gestiona de forma autónoma los cambios de vía y señales sin supervisión operativa humana continua,infraestructura,ninguno,alto_riesgo,Anexo III punto 2 — sistemas de IA en infraestructuras críticas de transporte. El control autónomo sin supervisión en ferroviaria de alta velocidad supone un riesgo vital para los viajeros ante fallos o situaciones imprevistas.,169,sistema control infraestructura ferroviaria alta velocidad gestiona forma autónoma cambios vía señales supervisión operativa humana continua
44,Plataforma de reclutamiento que rechaza automáticamente candidaturas de personas con brechas de empleo superiores a seis meses sin posibilidad de justificación ni revisión humana,rrhh,datos_personales,alto_riesgo,"Anexo III punto 4 — sistemas de IA en empleo. El rechazo automático por brechas laborales discrimina sistemáticamente a personas que han cuidado familiares, han estado enfermas o pertenecen a grupos con mayor desempleo estructural.",178,plataforma reclutamiento rechaza automáticamente candidaturas personas brechas empleo superiores meses posibilidad justificación revisión humana
45,Sistema de IA que recomienda tratamientos oncológicos personalizados a oncólogos que en la práctica adoptan el 98% de las recomendaciones sin revisión crítica independiente,sanidad,datos_personales,alto_riesgo,Anexo III punto 5a — sistemas de IA destinados a influir en tratamientos clínicos. La dependencia clínica casi total en recomendaciones algorítmicas elimina el juicio médico experto como garantía de seguridad del paciente.,172,sistema ia recomienda tratamientos oncológicos personalizados oncólogos práctica adoptan 98% recomendaciones revisión crítica independiente
46,Herramienta que analiza los registros de llamadas y correos de sospechosos e identifica automáticamente a sus contactos como 'cómplices potenciales' que son investigados sin orden judicial,seguridad,datos_personales,alto_riesgo,Anexo III punto 6 — sistemas de IA policiales. La extensión automática de investigaciones a terceros sin control judicial vulnera la presunción de inocencia y el derecho a la privacidad de personas no investigadas.,188,herramienta analiza registros llamadas correos sospechosos identifica automáticamente contactos cómplices potenciales investigados orden judicial
47,Sistema de scoring crediticio que penaliza automáticamente a personas que viven en determinados códigos postales históricamante desfavorecidos sin factores correctores de equidad,banca,datos_financieros,alto_riesgo,Anexo III punto 5b — evaluación de solvencia crediticia. La incorporación de variables geográficas como proxy de riesgo puede perpetuar la exclusión financiera de comunidades históricamente discriminadas.,178,sistema scoring crediticio penaliza automáticamente personas viven determinados códigos postales históricamante desfavorecidos factores correctores equidad
48,Algoritmo de gestión de personal que programa automáticamente los turnos de miles de trabajadores de hostelería sin considerar sus preferencias ni compromisos personales comunicados,industria,datos_personales,alto_riesgo,Anexo III punto 4 — gestión de trabajadores mediante IA. La gestión automatizada sin consideración de necesidades personales puede vulnerar derechos laborales fundamentales como la conciliación y el descanso adecuado.,181,algoritmo gestión personal programa automáticamente turnos miles trabajadores hostelería considerar preferencias compromisos personales comunicados
49,Sistema de IA que controla el suministro de agua de riego en grandes explotaciones agrícolas que abastecen a regiones enteras modificando caudales sin supervisión técnica humana,infraestructura,ninguno,alto_riesgo,Anexo III punto 2 — sistemas de IA en infraestructuras críticas. El control autónomo de recursos hídricos esenciales para la seguridad alimentaria de regiones enteras puede causar crisis agrícolas ante fallos o ataques.,177,sistema ia controla suministro agua riego explotaciones agrícolas abastecen regiones enteras modificando caudales supervisión técnica humana
50,Plataforma judicial que predice la probabilidad de reincidencia de condenados y determina automáticamente las condiciones de libertad condicional sin revisión por parte del juez de vigilancia,justicia,datos_personales,alto_riesgo,Anexo III punto 8 — sistemas de IA en administración de justicia. Las predicciones de reincidencia sin supervisión judicial vulneran el derecho a la rehabilitación y pueden perpetuar desigualdades sistémicas en el sistema penal.,191,plataforma judicial predice probabilidad reincidencia condenados determina automáticamente condiciones libertad condicional revisión juez vigilancia
51,Sistema que evalúa el estado psicológico de pilotos de aviación comercial antes de cada vuelo y determina automáticamente su aptitud para volar sin revisión médica presencial,sanidad,datos_personales,alto_riesgo,Anexo III punto 5a — sistemas de IA sanitarios en seguridad crítica. La evaluación psicológica automática sin respaldo médico presencial puede resultar en falsos negativos con consecuencias catastróficas para la seguridad aérea.,174,sistema evalúa psicológico pilotos aviación comercial vuelo determina automáticamente aptitud volar revisión médica presencial
52,Algoritmo de distribución de recursos médicos en urgencias hospitalarias que decide automáticamente el orden de atención de pacientes sin supervisión del personal médico de guardia,sanidad,datos_personales,alto_riesgo,Anexo III punto 5a — sistemas de IA en productos sanitarios de alta criticidad. La priorización autónoma de urgencias sin supervisión médica puede resultar en retrasos fatales para pacientes en situación crítica.,180,algoritmo distribución recursos médicos urgencias hospitalarias decide automáticamente orden atención pacientes supervisión personal médico guardia
53,Sistema de evaluación continua de empleados públicos que puntúa automáticamente su rendimiento y determina sus promociones sin que ningún superior revise los casos desfavorables,administracion,datos_personales,alto_riesgo,Anexo III punto 4 — sistemas de IA en gestión de trabajadores. La evaluación automática de empleados públicos sin supervisión puede vulnerar el derecho al mérito y la capacidad en el acceso a la función pública.,177,sistema evaluación continua empleados públicos puntúa automáticamente rendimiento determina promociones superior revise casos desfavorables
54,Plataforma de seguros de vida que determina automáticamente la cobertura y exclusiones aplicables a cada asegurado basándose en análisis genético sin intervención de actuarios humanos,seguros,datos_personales,alto_riesgo,Anexo III punto 5b — fijación de precios en seguros basada en datos sensibles. El uso de datos genéticos en decisiones automatizadas de cobertura puede generar discriminación por predisposición hereditaria sin garantías de revisión.,183,plataforma seguros vida determina automáticamente cobertura exclusiones aplicables asegurado basándose análisis genético intervención actuarios humanos
55,Sistema de control de tráfico aéreo que gestiona autónomamente las autorizaciones de despegue y aterrizaje en un aeropuerto regional sin supervisión de controladores humanos,infraestructura,ninguno,alto_riesgo,Anexo III punto 2 — sistemas de IA en infraestructuras críticas de transporte aéreo. El control autónomo del espacio aéreo sin supervisión humana supone un riesgo inaceptable para la vida de los pasajeros.,173,sistema control tráfico aéreo gestiona autónomamente autorizaciones despegue aterrizaje aeropuerto regional supervisión controladores humanos
56,Herramienta de IA usada por servicios sociales que predice automáticamente el riesgo de maltrato infantil y activa protocolos de retirada de custodia sin validación del trabajador social,administracion,datos_personales,alto_riesgo,Anexo III punto 8 — sistemas de IA en decisiones de servicios públicos de alto impacto. La activación automática de procedimientos de separación familiar sin validación profesional puede vulnerar el interés superior del menor y el derecho de familia.,186,herramienta ia usada servicios sociales predice automáticamente riesgo maltrato infantil activa protocolos retirada custodia validación trabajador social
57,Algoritmo que asigna automáticamente puntuaciones de riesgo a pasajeros en aerolíneas y les deniega el embarque sin posibilidad de recurso inmediato ni explicación de los criterios,seguridad,datos_personales,alto_riesgo,Anexo III punto 6 — sistemas de IA en control de fronteras y migración. La denegación de embarque automatizada sin explicación ni recurso efectivo vulnera el derecho a la libre circulación y la tutela judicial.,180,algoritmo asigna automáticamente puntuaciones riesgo pasajeros aerolíneas deniega embarque posibilidad recurso inmediato explicación criterios
58,Sistema de diagnóstico dermatológico por imagen que clasifica lesiones cutáneas como malignas o benignas y comunica el resultado al paciente sin validación dermatológica previa,sanidad,datos_personales,alto_riesgo,Anexo III punto 5a — sistemas de IA como productos sanitarios. La comunicación directa al paciente de diagnósticos de malignidad sin validación médica puede causar daño psicológico grave y tratamientos innecesarios.,176,sistema diagnóstico dermatológico imagen clasifica lesiones cutáneas malignas benignas comunica resultado paciente validación dermatológica previa
59,Plataforma que predice el riesgo de evasión fiscal de contribuyentes y determina automáticamente las inspecciones sin supervisión de funcionarios de la agencia tributaria,administracion,datos_financieros,alto_riesgo,Anexo III punto 8 — sistemas de IA en decisiones administrativas de alto impacto. Las inspecciones fiscales generadas automáticamente sin supervisión pueden basarse en correlaciones erróneas causando daño reputacional y económico injustificado.,170,plataforma predice riesgo evasión fiscal contribuyentes determina automáticamente inspecciones supervisión funcionarios agencia tributaria
60,Sistema de IA que controla de forma autónoma las compuertas de un embalse hidroeléctrico que regula el riego de una comarca sin protocolo de supervisión técnica activa,infraestructura,ninguno,alto_riesgo,Anexo III punto 2 — sistemas de IA en infraestructuras críticas. El control autónomo de embalses sin supervisión puede causar inundaciones o sequías con consecuencias graves para comunidades y ecosistemas aguas abajo.,167,sistema ia controla forma autónoma compuertas embalse hidroeléctrico regula riego comarca protocolo supervisión técnica activa
61,Herramienta que recomienda automáticamente tratamientos psiquiátricos de internamiento involuntario a partir de análisis de registros clínicos sin supervisión de psiquiatra responsable,sanidad,datos_personales,alto_riesgo,Anexo III punto 5a — sistemas de IA sanitarios de máxima criticidad. Las recomendaciones de internamiento involuntario sin supervisión psiquiátrica vulneran la libertad personal y pueden causar daño psicológico grave por decisiones erróneas.,184,herramienta recomienda automáticamente tratamientos psiquiátricos internamiento involuntario análisis registros clínicos supervisión psiquiatra responsable
62,Sistema de scoring para prestaciones sociales que determina automáticamente quién accede a ayudas de emergencia alimentaria sin que ningún trabajador social valide los casos denegados,administracion,datos_personales,alto_riesgo,Anexo III punto 8 — sistemas de IA en acceso a servicios públicos esenciales. La denegación automatizada de ayudas de emergencia sin validación puede dejar a familias en situación de vulnerabilidad extrema sin apoyo vital.,183,sistema scoring prestaciones sociales determina automáticamente accede ayudas emergencia alimentaria trabajador social valide casos denegados
