text_final,etiqueta
sistema policial predictivo cataloguir joven potencial delincuente basar él código postal etnia perfil socioeconómico cometar delito,inaceptable
sistema análisis imagen fondo ojo diagnosticar automáticamente retinopatir diabético grave determinar urgencia tratamiento revisión oftalmológico caso,alto_riesgo
sistema ia auditoría contable generar informe auditoría indicar documento generar automáticamente advertir área confianza sistema bajo,riesgo_limitado
sistema diseño asistido ia arquitecto sugerir distribución planta alternativo basar él requisito cliente normativa urbanístico municipio,riesgo_minimo
plataforma reconocimiento voz identificar salud mental interlocutor llamado atención cliente decidir automáticamente cobrar servicio adicional,inaceptable
sistema puntuación ciudadano municipal reducir acceso licencia comercial persona participar huelga sindicato año,inaceptable
sistema vigilancia red social hijo empleado público evaluar idoneidad familiar funcionario proceso promoción cargo confianza,inaceptable
sistema generación automático ficha seguridad producto químico industrial producir documento técnico equipo seguridad laboral revisar distribución,riesgo_minimo
sistema análisis biométrico gimnasio corporativo medir rendimiento físico empleado dato evaluar potencial liderazgo consentimiento informado,inaceptable
sistema control autónomo nivel cloración agua potable red distribución urbano ajustar automáticamente parámetro supervisión continuo técnico servicio agua,alto_riesgo
sistema análisis facial instalado sucursal bancario infierar nivel estrés financiero cliente esperar atender asesor prepare argumentario producto crédito reunión,inaceptable
sistema asignar automáticamente tutor recurso adicional estudiante primaria basar él predicción rendimiento intervención equipo docente,alto_riesgo
sistema identificación biométrico centro votación cruzar identidad votante base dato afiliación sindical generar informe participación político,inaceptable
plataforma asesoramiento financiero online ofrecer recomendación inversión personalizado identificar él sistema automatizado advertir riesgo,riesgo_limitado
herramienta análisis tráfico web identificar patrón navegación sitio corporativo optimizar experiencia usuario dato anonimizado,riesgo_minimo
sistema clasificación automático incidencia soporte técnico categorizar asignar ticket entrante equipo especializado correspondiente,riesgo_minimo
herramienta análisis código fuente detectar automáticamente posible vulnerabilidad seguridad aplicación sugerir corrección equipo desarrollo,riesgo_minimo
plataforma reclutamiento utilizar análisis voz inferir origen étnico candidato filtrarlo entrevista conocimiento consentimiento,inaceptable
sistema generación informe médico alto hospitalaria producir documento clínico envir directamente paciente revisión médico responsable indicar generar ia,riesgo_limitado
plataforma auditoría accesibilidad web generar certificado cumplimiento normativo indicar evaluación automático advertir requerir verificación auditor humano acreditado,riesgo_limitado
algoritmo ajustar prima seguro salud tiempo real basar él dato geolocalización hábito consumo asegurado criterio aplicado,alto_riesgo
sistema generación artículo investigación académico producir paper cita bibliográfico verificar existencia real advertir riesgo alucinación referencia,riesgo_limitado
sistema análisis historial navegación web empleado red corporativo infierar buscar activamente empleo comunicar rrhh anticipar despido preventivo,inaceptable
herramienta analizar escritura formulario solicitud ayuda social inferir nivel inteligencia solicitante ponderar él decisión concesión,inaceptable
herramienta análisis dato sísmico tiempo real investigador geofísica identificar patrón registro generar hipótesis actividad tectónico evaluación científico,riesgo_minimo
plataforma generación plan negocio startups producir documento presentado análisis experto indicar generar automáticamente limitación analítica,riesgo_limitado
sistema scoring prestación social determinar automáticamente acceder ayuda emergencia alimentario trabajador social validir caso denegado,alto_riesgo
sistema crédito social empresarial puntuar proveedor posición política público excluir automáticamente empresa cuyo directivo expresar opinión contrario gobierno,inaceptable
sistema análisis imagen microscopio identificar automáticamente tipo célula muestra laboratorio investigación básico acelerar proceso clasificación manual,riesgo_minimo
herramienta análisis texto histórico latín griego clásico ayudar investigador identificar estructura gramatical complejo proponer interpretación alternativo pasaje ambiguo,riesgo_minimo
plataforma tutoer online niño avatar animado presentar amigo humano llamado carlos revelar sistema ia,riesgo_limitado
sistema reconocimiento planta hongo fotografía tomado usuario identificar especie proporcionar información toxicidad aficionado micología,riesgo_minimo
algoritmo plataforma empleo filtrar automáticamente candidatura persona baja enfermedad año usar dato seguridad social obtenido consentimiento,inaceptable
plataforma comercio detectar ia ansiedad financiero usuario mostrarl crédito predatorio momento vulnerabilidad emocional,inaceptable
sistema diagnóstico dermatológico imagen clasificar lesión cutánea maligna benigna comunicar resultado paciente validación dermatológico previo,alto_riesgo
algoritmo mantenimiento predictivo reactor nuclear decidir autónomamente parar reactivar unidad generación requerir confirmación operador cualificado,alto_riesgo
plataforma evaluación psicológico personal militar determinar automáticamente aptitud servicio activo restricción operativo revisión psicólogo militar responsable,alto_riesgo
plataforma análisis contrato revisar automáticamente cláusula legal sugerir modificación advertir usuario análisis limitación jurisdiccional aplicable país,riesgo_limitado
plataforma crédito consumo activar automáticamente oferta refinanciación momento detectar usuario búsqueda salir deuda hora,inaceptable
sistema ia gestionar autónomamente sistema contención emergencia planta tratamiento residuo químico peligroso alerta visible operador activo protocolo,alto_riesgo
sistema ia controlar forma autónomo compuerta embalse hidroeléctrico regular riego comarca protocolo supervisión técnico activo,alto_riesgo
sistema ia analizar imagen resonancia magnético cerebral detectar alzheimer fase temprano comunicar diagnóstico paciente revisión neurológico previo,alto_riesgo
sistema predicción deuda tributario determinar automáticamente embargo preventivo cuenta bancario supervisión inspector hacienda,alto_riesgo
sistema ia gestionar autónomamente apertura compuerta control inundación cuenca fluvial supervisión ingeniero hidráulico episodio lluvia intenso,alto_riesgo
sistema generación guión venta personalizado agente comercial informar cliente argumentario venta recibir generado adaptado ia tiempo real,riesgo_limitado
algoritmo adjudicación contrato público determinar automáticamente ganador licitación mesa contratación revisar modificar resultado resolución definitivo,alto_riesgo
plataforma técnica subliminal anuncio online manipular decisión compra persona diagnosticada trastorno obsesivo compulsivo,inaceptable
sistema análisis riesgo inundación póliza seguro hogar generar valoración automático indicar metodología empleado margen incertidumbre predicción,riesgo_limitado
sistema judicial recomendar duración exacto condena penal juez firmar sentencia seguir recomendación motivación adicional 95% caso,alto_riesgo
sistema ia recomendar automáticamente separación hermano acogida familiar determinar centro acogida asignado revisión equipo protección menor,alto_riesgo
plataforma salud mental diagnosticar automáticamente trastorno psiquiátrico análisis texto recomendar medicación supervisión psiquiatra,alto_riesgo
herramienta recomendar automáticamente tratamiento psiquiátrico internamiento involuntario análisis registro clínico supervisión psiquiatra responsable,alto_riesgo
plataforma mediación conflicto laboral ia generar propuesta informar parte propuesta generar sistema automatizado,riesgo_limitado
sistema ia gestionar autónomamente distribución energía eléctrico red metropolitano pico demanda supervisión técnico humano permanente,alto_riesgo
herramienta análisis partida ajedrez proporcionar sugerencia mejora análisis error jugador aficionado basar él base dato partida profesional,riesgo_minimo
sistema análisis vibración edificio histórico generar informe riesgo estructural presentado peritaje técnico oficial indicar producir automáticamente ia,riesgo_limitado
sistema ia generar recomendación tratamiento adicción presenta protocolo clínico validado indicar generar automáticamente revisión especializado,riesgo_limitado
sistema clasificación automático documento administrativo interno organizar archivo administración público categoría facilitar localización gestión,riesgo_minimo
sistema análisis infraestructura viario procesamiento imagen drón detectar grieta deterioro carretera priorizar inspección mantenimiento,riesgo_minimo
sistema generación automático comunicado prensa corporativo nota informativo interno producir borrador departamento comunicación revís enviarlo medio,riesgo_minimo
herramienta ia desplegado centro detención migrant evalúa credibilidad relato análisis facial negar automáticamente asilo intervención humano,inaceptable
plataforma detección fraude seguro bloquear automáticamente reclamación denunciar asegurado autoridad revisión humano previo caso,alto_riesgo
sistema reconocimiento facial centro comercial identificar persona devolver producto anteriormente activo protocolo seguimiento vigilancia reforzado,inaceptable
sistema ia analizar electroencefalograma paciente epilepsia predecir ocurrencia crisis recomendar ajuste medicación antiepiléptico supervisión neurólogo responsable,alto_riesgo
chatbot entidad crédito simular asesor financiero nombre revelar naturaleza automatizado negociación condición préstamo personal,riesgo_limitado
herramienta generación imagen persona contexto comprometedor incluir marca agua etiqueta contenido sintético imagen generado,riesgo_limitado
modelo lenguaje propósito general empresarial generar contrato documento legal advertir limitación recomendar revisión abogado,riesgo_limitado
algoritmo recomendación libro biblioteca público sugerir título basar él historial préstamo usuario posibilidad desactivar función,riesgo_minimo
asistente escritura creativo usuario solicitar adoptar voz autor real vivo advertir contenido sintético obtener consentimiento autor imitado,riesgo_limitado
plataforma evaluación riesgo crédito hipotecario autónomo determinar automáticamente condición analista revisar expediente sector alto variabilidad ingreso,alto_riesgo
herramienta generación automático gráfico visualización dato presentación corporativo convertir tabla dato gráfico listo diapositiva,riesgo_minimo
sistema generación propuesta inversión criptoactivo producir análisis mercado presentado recomendación analista experto indicar origen automatizado limitación predictiva,riesgo_limitado
herramienta ia analizar tono contenido correos interno empleado detectar deslealtad recomendar despido trabajador saber monitorizar,inaceptable
plataforma predicar rendimiento académico futuro alumno secundaria determín automáticamente asignación itinerario académico profesional intervención orientadoro,alto_riesgo
sistema scoring crediticio penalizar automáticamente persona vivir determinado código postal históricamante desfavorecido factor corrector equidad,alto_riesgo
sistema puntuación ciudadano basado participación acto cultural deportivo subvencionado reducir acceso subvención cumplir umbral actividad comunitario,inaceptable
sistema asistencia escritura diagnóstico radiológico completar automáticamente informe radiólogo dejar parte generar ia médico,riesgo_limitado
herramienta extraer dato biométrico menor plataforma educativo digital vender empresa marketing infantil consentimiento parental campaña publicitario personalizado,inaceptable
sistema utilizado agencia inmigración evalúa automáticamente credibilidad solicitante asilo determinar admisión trámite revisión humano posterior,alto_riesgo
plataforma préstamo online detectar análisis escritura velocidad respuesta formulario inferir nivel educativo solicitante aplicar interés alto identificado formado,inaceptable
herramienta selección personal puesto seguridad nacional descartar candidato automáticamente basar él conexión red social supervisión responsable seguridad,alto_riesgo
herramienta generación propuesta menú semanal comedor escolar equilibrar automáticamente valor nutricional presupuesto alergia declarado,riesgo_minimo
chatbot atención cliente compañía seguro gestionar reclamación identificar él ia informar usuario derecho solicitar revisión humano reclamación,riesgo_limitado
sistema traducción automático documento interno idioma exclusivamente empresarial revisión humano externo,riesgo_minimo
sistema generación pronóstico meteorológico personalizado agricultor producir predicción indicar margen error metodología empleado presenta certeza operativo,riesgo_limitado
herramienta monitorizar patrón sueño empleado apps bienestar corporativo información tomar decisión ascenso conocimiento,inaceptable
algoritmo asignación docente centro educativo público determinar automáticamente destino definitivo responsable educativo modificar resultado,alto_riesgo
sistema reconocimiento automático especie ave grabación audio ayudar observador aficionado identificar canto escuchar salida birdwatching,riesgo_minimo
sistema optimización gestión sala hospital distribuir automáticamente limpieza preparación personal auxiliar alto entrada programado,riesgo_minimo
sistema monitorización calidad aire zona industrial analizar dato sensor distribuido generar alerta automático nivel contaminant superar umbral legal,riesgo_minimo
sistema detección fraude prestación desempleo suspender automáticamente pago beneficiario identificado sospechoso revisión inspector suspensión,alto_riesgo
modelo predictivo consumo eléctrico edificio corporativo optimizar climatización reducir gasto energético afectar persona físico,riesgo_minimo
sistema generación automático plan tratamiento fisioterapia producir protocolo personalizado indicar generar ia requirir validación fisioterapeuta aplicación,riesgo_limitado
sistema asistencia composición musical sugerir armonía progresión acord músico trabajar producción entretenimiento,riesgo_minimo
sistema triaje urgencia pediátrica clasificar gravedad paciente menor determinar orden atención supervisión pediatra guardia hora nocturno,alto_riesgo
sistema monitorizar tiempo real búsqueda médico onlinar empleado inferir enfermedad comunicar él rrhh revisión promoción,inaceptable
algoritmo puntuar automáticamente currículums decidir candidato pasar entrevista intervención humano fase proceso selección multinacional,alto_riesgo
sistema control tráfico aéreo gestionar autónomamente autorización despegue aterrizaje aeropuerto regional supervisión controlador humano,alto_riesgo
sistema predicción violencia doméstico activar automáticamente medida alejamiento órden protección revisión judicial previo basar él dato histórico llamado emergencia,alto_riesgo
plataforma asignación plaza universitario determinar automáticamente admisión definitivo titulación numeru clausus posibilidad revisión manual expediente límite,alto_riesgo
herramienta evaluación riesgo suicidio paciente hospitalizado determinar automáticamente protocolo vigilancia psiquiatra responsable validir,alto_riesgo
sistema monitorización equipo refrigeración supermercado detectar anomalía funcionamiento generar alerta mantenimiento producir avería,riesgo_minimo
sistema predicción recidiva oncológico determinar automáticamente frecuencia revisión postratamiento paciente cáncer supervisión oncólogo responsable seguimiento,alto_riesgo
sistema gubernamental analizar contenido mensaje privado ciudadano aplicación mensajería asignar puntuación riesgo ideológico,inaceptable
algoritmo evaluación riesgo reagrupación familiar migrant determinar automáticamente condición autorización funcionario extranjería revisar caso denegado,alto_riesgo
sistema monitorización empleado discapacidad reconocido registrar pausa médico generar informe productividad real compartido departamento conocimiento,inaceptable
plataforma reclutamiento rechazar automáticamente candidatura persona brecha empleo superior mes posibilidad justificación revisión humano,alto_riesgo
herramienta resumen automático artículo académico investigador generar síntesis punto principal paper científico,riesgo_minimo
chatbot orientación migratorio asesorar solicitante visa posibilidad éxito identificar él ia advertir valoración validez legal constituir asesoramiento jurídico,riesgo_limitado
plataforma educativo evalúir examen escrito universitario asigna calificación final determinante paso curso docente revisar caso suspendido,alto_riesgo
sistema control drón vigilancia fronterizo tomar decisión interceptación autónomo embarcación agua internacional supervisión guardacosta humano,alto_riesgo
plataforma judicial predicar probabilidad reincidencia condenado determinar automáticamente condición libertad condicional revisión juez vigilancia,alto_riesgo
algoritmo predicar probabilidad embarazo empleada búsqueda seguro médico corporativo comunicar rrhh planificar baja maternidad,inaceptable
plataforma evaluación riesgo crediticio microempresa determinar automáticamente línea crédito máximo analista revisar caso empresa sector emergente,alto_riesgo
plataforma evaluación daño catástrofe natural determinar automáticamente indemnización seguro hogar peritaje presencial posibilidad revisión humano caso impugnado,alto_riesgo
sistema traducción automático documento judicial advertir tasa error terminología legal específico requerir revisión traductor jurado oficial,riesgo_limitado
plataforma ia identificar trabajador buscar empleo activamente análisis actividad linkedin penalizar peor condición laboral interno,inaceptable
algoritmo detección anomalía maquinaria industrial analizar dato sensor vibración predecir avería producir línea producción,riesgo_minimo
plataforma red social ia decidir publicación debate político amplifico suprime informar usuario algoritmo intervenir curaduría editorial,riesgo_limitado
sistema generación acta reunión corporativo producir resumen conversación sensible indicar contenido sintetizar ia poder omitir matiz relevante,riesgo_limitado
chatbot atención cliente banco responder duda saldo movimiento identificar él ia inicio conversación,riesgo_limitado
sistema generación testimonio falso cliente reseña producto ecommerce indicar origen artificial comentario publicado,riesgo_limitado
sistema análisis acústica sala concierto procesar grabación prueba recomendar configuración amplificación distribución altavoz técnico sonido,riesgo_minimo
sistema generación automático subtítulo transcripción vídeo corporativo formación interno facilitar accesibilidad contenido empleado discapacidad auditivo,riesgo_minimo
herramienta corrección ortográfico gramatical integrado procesador texto sugerir mejora tiempo real usuario escribir,riesgo_minimo
algoritmo decidir automáticamente retirada beneficio desempleo perceptor sistema identificar disponible empleo revisión funcionario,alto_riesgo
chatbot orientación vocacional joven situación neet informar naturaleza artificial simular orientador laboral experiencia real inserción profesional,riesgo_limitado
sistema diagnóstico enfermedad rara analizar síntoma descrito texto determinar automáticamente protocolo diagnóstico seguir supervisión especialista medicina interno,alto_riesgo
plataforma crédito algoritmo detectar usuario situación desesperación financiero extremo ofrecerl préstamo interés 400% advertencia claro,inaceptable
herramienta generación código informático sugerir fragmento código desarrollador escribir entorno desarrollo integrado,riesgo_minimo
herramienta organización automático fotografía personal álbum temático agrupar imagen lugar evento fecha forma local dispositivo usuario,riesgo_minimo
chatbot recurso humano realizar entrevista inicial selección personal informar candidato entrevistar sistema ia,riesgo_limitado
sistema detección automático mala hierba campo cereal imagen satélite generar mapa tratamiento selectivo agricultor,riesgo_minimo
sistema análisis conversación privado apps mensajería corporativo detectar empleado criticar empresa internamente marca riesgo reputación seguimiento,inaceptable
plataforma reconocimiento facial evento deportivo identificar aficionado previamente expulsado cruzar lista activista deniega explicación,inaceptable
sistema análisis factura médico detectar posible error facturación generar reclamación automático aseguradora informar paciente proceso completamente automatizado,riesgo_limitado
plataforma generación contrato arrendamiento vivienda producir documento legal identificar él ia advertir necesidad revisión notarial contrato superar determinado umbral,riesgo_limitado
herramienta análisis red social candidato adopción infierar ideología político práctica religioso puntuar idoneidad padre adoptivo conocimiento,inaceptable
chatbot atención emergencia aseguradora salud decidir enviar ambulancia identificar él sistema automatizado avisar solicitar hablar operador humano,riesgo_limitado
sistema predicción demanda transporte público estimar ocupación línea metro autobús optimizar frecuencia paso distinto franja horario,riesgo_minimo
herramienta análisis contrato suministro energía identificar automáticamente cláusula ventajoso oferta presentar comparado usuario tomar decisión,riesgo_minimo
sistema reconocimiento facial supermercado identificar cliente investigar hurto establecimiento cadena activo vigilancia intensificado haber condenar,inaceptable
sistema seguimiento gps continuo repartidor compartir localización tiempo real cliente consentimiento explícito justificar penalización automático,inaceptable
algoritmo reconocimiento mala hierba imagen drón agrícola aplicación selectivo herbicida reducir producto químico,riesgo_minimo
plataforma tutoría universitario avatar ia presentar profesor titular asignatura revelar naturaleza artificial estudiante,riesgo_limitado
algoritmo recomendación música plataforma streaming sugerir canción basar él historial escucha valoración usuario,riesgo_minimo
plataforma vender partido político perfil psicológico detallado votante indeciso diseñir mensaje manipulación emocional personalizado consentimiento afectado,inaceptable
sistema analizar movimiento ocular usuario plataforma apuesta detectar momento impulsividad mostrar oferta especial maximizar pérdida económico,inaceptable
algoritmo procesamiento lenguaje natural extraer automáticamente dato clave factura recibo introducirlo sistema contabilidad empresa,riesgo_minimo
sistema generación propuesta arquitectónico producir plano memoria técnico edificio advertir revisar firmado arquitecto colegiado oficial,riesgo_limitado
plataforma ia generar automáticamente argumento defensa procedimiento administrativo sancionador indicar texto producir ia advertir necesidad revisión legal,riesgo_limitado
algoritmo evaluación riesgo reincidencia menor infractor determinar automáticamente medida internamiento supervisión juez menor,alto_riesgo
chatbot orientación jurídico sitio web despacho abogado responder duda legal identificar él ia advertir respuesta constituir asesoramiento profesional,riesgo_limitado
sistema generación automático declaración fiscal presentar documento definitivo advertir contribuyente revisar asesor fiscal,riesgo_limitado
chatbot plataforma salud mental simular terapeuta humano certificado informar usuario momento ia,riesgo_limitado
sistema generación automático receta cocina personalizado basado ingrediente disponible declarado usuario restricción dietética voluntariamente informado,riesgo_minimo
asistente ia diagnóstico diferencial sugerir diagnóstico médico cabecera indicar nivel confianza advertir síntoma atípico poder considerar,riesgo_limitado
herramienta analizar patrón gasto tarjeta crédito persona inferir proceso divorcio vender predicción despacho abogado familia,inaceptable
sistema reconocimiento facial aeropuerto activo alerta riesgo migratorio automáticamente suspender embarque agente revisar caso acción,alto_riesgo
sistema moderación contenido eliminar automáticamente publicación usuario explicar motivo ofrecer mecanismo apelación interno,riesgo_limitado
algoritmo evaluación riesgo reincidencia delito sexual determinar automáticamente supervisión post-penitenciario juez vigilancia penitenciario modificar parámetro,alto_riesgo
algoritmo segmentación cliente campaña marketing fabricante producto papeleer agrupar comprador patrón compra personalizar catálogo dato sensible,riesgo_minimo
chatbot soporte psicológico aplicación bienestar informar usuario profesional salud mental sustituir atención psicológico real,riesgo_limitado
herramienta ia usado servicio social predicar automáticamente riesgo maltrato infantil activo protocolo retirada custodia validación trabajador social,alto_riesgo
sistema ia redactar automáticamente parte accidente tráfico compañía seguro basar él foto siniestro identificar él sistema automatizado documento,riesgo_limitado
algoritmo distribución recurso médico urgencia hospitalaria decidir automáticamente orden atención paciente supervisión personal médico guardia,alto_riesgo
sistema reconocimiento emoción entrevista trabajo puntuar automáticamente candidato estabilidad emocional usar análisis facial validación científico,inaceptable
algoritmo asignar automáticamente puntuación riesgo pasajero aerolínea denegar embarque posibilidad recurso inmediato explicación criterio,alto_riesgo
sistema analizar historial votación encuesta sindical interno identificar trabajador activo acción sindical excluirlo proceso promoción,inaceptable
sistema vigilancia trabajador almacén cámara ia detectar turno descontar automáticamente tiempo salario superar umbral permitido,inaceptable
sistema generación automático argumento jurídico presentación tribunal advertir limitación exigir revisión abogado contenido,riesgo_limitado
